shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime
36,36,2025/10/21 22:53:21,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
37,37,2025/10/21 22:53:40,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
38,38,2025/10/21 22:53:58,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
39,39,2025/10/21 22:54:16,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
40,40,2025/10/21 22:54:34,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
41,41,2025/10/21 22:54:53,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
42,42,2025/10/21 22:55:11,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
43,43,2025/10/21 22:55:29,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
44,44,2025/10/21 22:55:47,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
45,45,2025/10/21 22:56:06,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
