shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID
23,23,2025/03/21 16:10:06,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,5.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
24,24,2025/03/21 16:10:25,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,6.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
25,25,2025/03/21 16:10:44,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,7.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
26,26,2025/03/21 16:11:02,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,8.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
27,27,2025/03/21 16:11:20,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,0.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,0.0
28,28,2025/03/21 16:11:39,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,1.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
29,29,2025/03/21 16:11:57,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,2.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
30,30,2025/03/21 16:12:15,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,3.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
31,31,2025/03/21 16:12:34,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,4.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
32,32,2025/03/21 16:12:53,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,5.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
33,33,2025/03/21 16:13:12,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,6.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
34,34,2025/03/21 16:13:30,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,7.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
35,35,2025/03/21 16:13:49,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,8.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
36,36,2025/03/21 16:14:08,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,0.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,0.0
37,37,2025/03/21 16:14:27,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,1.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
38,38,2025/03/21 16:14:46,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,2.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
39,39,2025/03/21 16:15:05,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,3.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
40,40,2025/03/21 16:15:24,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,4.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
41,41,2025/03/21 16:15:42,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,5.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
42,42,2025/03/21 16:16:00,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,6.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
43,43,2025/03/21 16:16:19,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,7.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
44,44,2025/03/21 16:16:38,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,8.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
45,45,2025/03/21 16:16:57,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,0.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,0.0
46,46,2025/03/21 16:17:16,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,1.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
