shot_idx,shot_serial,shot_start_time,LocalVariables.ImagingBlowOutID,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.XbarFrequency,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower
36,36,2025/03/21 00:48:36,0.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,0.0,0.0,2.4
37,37,2025/03/21 00:48:55,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,1.0,0.0,2.4
38,38,2025/03/21 00:49:13,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,2.0,0.0,2.4
39,39,2025/03/21 00:49:31,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,3.0,0.0,2.4
40,40,2025/03/21 00:49:49,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,4.0,0.0,2.4
41,41,2025/03/21 00:50:07,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,5.0,0.0,2.4
42,42,2025/03/21 00:50:25,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,6.0,0.0,2.4
43,43,2025/03/21 00:50:43,2.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,7.0,0.0,2.4
44,44,2025/03/21 00:51:01,1.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,8.0,0.0,2.4
45,45,2025/03/21 00:51:19,0.0,0.0,18.0,5.0,12.0,163.4945,228.2,0.0,14.0,590.0,0.0,0.975,22.0,28.0,200.0,174.746,30.0,14.0,773.0,10.0,7.26,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',10.0,35.0,100.0,0.0,30.0,93.0,1.0,0,0.0,0.0,2.4
