shot_idx,shot_serial,shot_start_time,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.UnloadLatticeDMD1Power
41,41,2025/03/24 19:58:34,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,5.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
42,42,2025/03/24 19:58:52,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,6.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
43,43,2025/03/24 19:59:11,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,7.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
44,44,2025/03/24 19:59:29,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,8.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
45,45,2025/03/24 19:59:47,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,0.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,0.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
46,46,2025/03/24 20:00:05,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,1.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
47,47,2025/03/24 20:00:23,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,2.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
48,48,2025/03/24 20:00:41,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,3.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
49,49,2025/03/24 20:00:59,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,4.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
50,50,2025/03/24 20:01:18,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,5.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
51,51,2025/03/24 20:01:36,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,6.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,1.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
52,52,2025/03/24 20:01:54,773.0,0.975,100.0,30.0,14.0,0.0,0,18.0,163.4945,2.6,30.0,7.0,12.0,0.0,174.746,0.0,0.0,10.0,200.0,100.0,28.0,35.0,93.0,5.0,10.0,2.0,8.64,590.0,1.0,22.0,0.0,228.2,b'250316_dmd0_iterative_compensation_pinning.pkl',14.0
