shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.DMDID2,LocalVariables.DMDID,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power
33,33,2025/03/16 05:39:04,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,6.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
34,34,2025/03/16 05:39:22,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,7.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
35,35,2025/03/16 05:39:41,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,8.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
36,36,2025/03/16 05:39:59,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,0.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',0.0,0.0,14.0
37,37,2025/03/16 05:40:17,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,1.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
38,38,2025/03/16 05:40:35,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,2.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
39,39,2025/03/16 05:40:53,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,3.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
40,40,2025/03/16 05:41:11,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,4.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
41,41,2025/03/16 05:41:29,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,5.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
42,42,2025/03/16 05:41:47,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,6.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
43,43,2025/03/16 05:42:05,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,7.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
44,44,2025/03/16 05:42:23,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,8.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
45,45,2025/03/16 05:42:41,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,0.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',0.0,0.0,14.0
46,46,2025/03/16 05:43:00,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,1.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
47,47,2025/03/16 05:43:18,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,2.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
48,48,2025/03/16 05:43:36,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,3.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
49,49,2025/03/16 05:43:54,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,4.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
50,50,2025/03/16 05:44:12,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,5.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
51,51,2025/03/16 05:44:30,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,6.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
52,52,2025/03/16 05:44:48,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,7.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
53,53,2025/03/16 05:45:06,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,8.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
54,54,2025/03/16 05:45:24,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,0.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',0.0,0.0,14.0
55,55,2025/03/16 05:45:43,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,1.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
56,56,2025/03/16 05:46:01,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,2.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
57,57,2025/03/16 05:46:19,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,3.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
