shot_idx,shot_start_time,LocalVariables.ImagingBlowOutID,LocalVariables.ShotTypeID,LocalVariables.XbarFrequency,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeFreezePhysicsNortheastPower,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.PhaseLockXGainFreezeValue,GlobalLatticeVariables2.PhysicsIntLatticeXFreezePower,GlobalLatticeVariables2.PhysicsIntLatticeYFreezePower,GlobalLatticeVariables2.IntLatticeRampDownTime,GlobalLatticeVariables2.IsSplittingFieldRamped,GlobalLatticeVariables2.ChargeSplittingFieldRampTime,GlobalLatticeVariables2.LatticeFreezeMicrowaveAfterFreezing,GlobalLatticeVariables2.LatticeMicrowaveType,GlobalImagingVariables2.IsSpinBlowOutPulse,GlobalImagingVariables2.IsSkipSpinBlowOutLight,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalImagingVariables2.SpinBlowOutPulseMagneticField,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalImagingVariables2.ThirdSpinBlowOutPulseMagneticField,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalImagingVariables2.FourthSpinBlowOutPulseMagneticField,GlobalPulseVariables2.LatticeMicrowaveField,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalPulseVariables2.LatticeMicrowaveExtAmplitude,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalPulseVariables2.LatticeMicrowaveSweepWidth
28,2025/06/22 16:55:07,1.0,28.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,450.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
29,2025/06/22 16:55:23,2.0,29.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,527.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
30,2025/06/22 16:55:40,0.0,30.0,730.0,1,0.1,1.8,1.5,-0.5,0.2,1.5,1.0,1,50.0,0,0,0,1,5.0,450.0,500.0,300.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
31,2025/06/22 16:55:56,1.0,31.0,730.0,1,0.1,1.8,1.5,-0.5,0.2,1.5,1.0,1,50.0,1,1,1,0,10.0,605.5,610.0,766.0,610.0,1088.3,610.0,1010.9,610.0,610.0,40.0,0.6,83.50678,8.0
32,2025/06/22 16:56:12,0.0,0.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,1,5.0,450.0,500.0,300.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
33,2025/06/22 16:56:28,1.0,1.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,1,1,1,0,10.0,605.5,610.0,766.0,610.0,1088.3,610.0,1010.9,610.0,610.0,40.0,0.6,83.50678,8.0
34,2025/06/22 16:56:45,1.0,2.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,450.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
35,2025/06/22 16:57:01,2.0,3.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,527.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
36,2025/06/22 16:57:17,1.0,4.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,450.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
37,2025/06/22 16:57:34,2.0,5.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,527.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
38,2025/06/22 16:57:50,1.0,6.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,450.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
39,2025/06/22 16:58:06,2.0,7.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,527.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
40,2025/06/22 16:58:23,1.0,8.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,450.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
41,2025/06/22 16:58:39,2.0,9.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,527.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
42,2025/06/22 16:58:56,0.0,10.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,1,5.0,450.0,500.0,300.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
43,2025/06/22 16:59:12,1.0,11.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,1,1,1,0,10.0,605.5,610.0,766.0,610.0,1088.3,610.0,1010.9,610.0,610.0,40.0,0.6,83.50678,8.0
44,2025/06/22 16:59:29,1.0,12.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,450.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
45,2025/06/22 16:59:45,2.0,13.0,773.0,0,30.0,1.0,1.0,0.1,10.0,0.5,10.0,0,100.0,0,0,0,0,5.0,450.0,500.0,527.0,500.0,932.6,500.0,854.0,500.0,0.0,1.0,0.8,228.2,50.0
