shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower
26,26,2025/03/23 20:23:48,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
27,27,2025/03/23 20:24:06,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
28,28,2025/03/23 20:24:24,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
29,29,2025/03/23 20:24:42,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
30,30,2025/03/23 20:25:00,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
31,31,2025/03/23 20:25:18,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
32,32,2025/03/23 20:25:37,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
33,33,2025/03/23 20:25:55,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
34,34,2025/03/23 20:26:13,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
35,35,2025/03/23 20:26:31,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
36,36,2025/03/23 20:26:49,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
37,37,2025/03/23 20:27:07,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
38,38,2025/03/23 20:27:25,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
