shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ShotTypeID,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.SecondDMD1RampPower
40,40,2025/03/21 08:21:57,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,4.0,1.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
41,41,2025/03/21 08:22:15,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,5.0,2.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
42,42,2025/03/21 08:22:33,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,6.0,1.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
43,43,2025/03/21 08:22:51,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,7.0,2.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
44,44,2025/03/21 08:23:09,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,8.0,1.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
45,45,2025/03/21 08:23:27,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,0.0,0.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
46,46,2025/03/21 08:23:45,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,1.0,2.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
47,47,2025/03/21 08:24:04,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,2.0,1.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
48,48,2025/03/21 08:24:22,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,3.0,2.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
49,49,2025/03/21 08:24:40,30.0,0,7.26,10.0,0.0,100.0,12.0,35.0,773.0,93.0,174.746,100.0,0.0,0.975,0.0,0.0,18.0,4.0,1.0,14.0,5.0,0.0,228.2,200.0,30.0,590.0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,1.0,14.0,28.0,163.4945,2.4,10.0
