shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower
23,23,2025/03/22 09:57:55,100.0,0.0,200.0,12.0,10.0,0,5.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
24,24,2025/03/22 09:58:13,100.0,0.0,200.0,12.0,10.0,0,6.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
25,25,2025/03/22 09:58:31,100.0,0.0,200.0,12.0,10.0,0,7.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
26,26,2025/03/22 09:58:49,100.0,0.0,200.0,12.0,10.0,0,8.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
27,27,2025/03/22 09:59:07,100.0,0.0,200.0,12.0,10.0,0,0.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
28,28,2025/03/22 09:59:25,100.0,0.0,200.0,12.0,10.0,0,1.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
29,29,2025/03/22 09:59:43,100.0,0.0,200.0,12.0,10.0,0,2.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
30,30,2025/03/22 10:00:02,100.0,0.0,200.0,12.0,10.0,0,3.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
31,31,2025/03/22 10:00:20,100.0,0.0,200.0,12.0,10.0,0,4.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
32,32,2025/03/22 10:00:38,100.0,0.0,200.0,12.0,10.0,0,5.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
33,33,2025/03/22 10:00:56,100.0,0.0,200.0,12.0,10.0,0,6.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
34,34,2025/03/22 10:01:14,100.0,0.0,200.0,12.0,10.0,0,7.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
35,35,2025/03/22 10:01:32,100.0,0.0,200.0,12.0,10.0,0,8.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
36,36,2025/03/22 10:01:50,100.0,0.0,200.0,12.0,10.0,0,0.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
37,37,2025/03/22 10:02:08,100.0,0.0,200.0,12.0,10.0,0,1.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
38,38,2025/03/22 10:02:26,100.0,0.0,200.0,12.0,10.0,0,2.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
39,39,2025/03/22 10:02:44,100.0,0.0,200.0,12.0,10.0,0,3.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
40,40,2025/03/22 10:03:03,100.0,0.0,200.0,12.0,10.0,0,4.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
41,41,2025/03/22 10:03:21,100.0,0.0,200.0,12.0,10.0,0,5.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
42,42,2025/03/22 10:03:39,100.0,0.0,200.0,12.0,10.0,0,6.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
43,43,2025/03/22 10:03:57,100.0,0.0,200.0,12.0,10.0,0,7.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
44,44,2025/03/22 10:04:16,100.0,0.0,200.0,12.0,10.0,0,8.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
45,45,2025/03/22 10:04:34,100.0,0.0,200.0,12.0,10.0,0,0.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
46,46,2025/03/22 10:04:52,100.0,0.0,200.0,12.0,10.0,0,1.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
47,47,2025/03/22 10:05:10,100.0,0.0,200.0,12.0,10.0,0,2.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
48,48,2025/03/22 10:05:28,100.0,0.0,200.0,12.0,10.0,0,3.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
49,49,2025/03/22 10:05:46,100.0,0.0,200.0,12.0,10.0,0,4.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
50,50,2025/03/22 10:06:04,100.0,0.0,200.0,12.0,10.0,0,5.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
51,51,2025/03/22 10:06:22,100.0,0.0,200.0,12.0,10.0,0,6.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
52,52,2025/03/22 10:06:40,100.0,0.0,200.0,12.0,10.0,0,7.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
