shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.ShotTypeID,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.DMDID2,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ScanID4
54,54,2025/03/21 10:56:30,590.0,35.0,174.746,200.0,100.0,2.2,14.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
55,55,2025/03/21 10:56:50,590.0,35.0,174.746,200.0,100.0,2.2,14.0,1.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
56,56,2025/03/21 10:57:09,590.0,35.0,174.746,200.0,100.0,2.2,14.0,2.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
57,57,2025/03/21 10:57:28,590.0,35.0,174.746,200.0,100.0,2.2,14.0,3.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
58,58,2025/03/21 10:57:47,590.0,35.0,174.746,200.0,100.0,2.2,14.0,4.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
59,59,2025/03/21 10:58:05,590.0,35.0,174.746,200.0,100.0,2.2,14.0,5.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
60,60,2025/03/21 10:58:24,590.0,35.0,174.746,200.0,100.0,2.2,14.0,6.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
61,61,2025/03/21 10:58:44,590.0,35.0,174.746,200.0,100.0,2.2,14.0,7.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
62,62,2025/03/21 10:59:03,590.0,35.0,174.746,200.0,100.0,2.2,14.0,8.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
63,63,2025/03/21 10:59:21,590.0,35.0,174.746,200.0,100.0,2.2,14.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,28.0,5.0,0.0,18.0,773.0,30.0,163.4945,93.0,0.0,0.0,7.26,14.0,100.0,10.0,10.0,0.0,0.975,0,30.0,1.0,22.0,228.2,0.0
