shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
206,206,2025/06/13 13:26:04,0.0023,1.0
207,207,2025/06/13 13:26:23,0.0025,0.0
208,208,2025/06/13 13:26:41,0.0025,1.0
209,209,2025/06/13 13:27:00,0.0025,2.0
210,210,2025/06/13 13:27:18,0.0025,1.0
211,211,2025/06/13 13:27:36,0.0025,2.0
212,212,2025/06/13 13:27:54,0.0025,1.0
213,213,2025/06/13 13:28:13,0.0025,2.0
214,214,2025/06/13 13:28:30,0.0025,1.0
215,215,2025/06/13 13:28:48,0.0025,2.0
216,216,2025/06/13 13:29:07,0.0023,0.0
217,217,2025/06/13 13:29:25,0.0023,2.0
218,218,2025/06/13 13:29:43,0.0023,1.0
219,219,2025/06/13 13:30:02,0.0023,2.0
220,220,2025/06/13 13:30:21,0.0023,1.0
221,221,2025/06/13 13:30:39,0.0023,2.0
222,222,2025/06/13 13:30:57,0.0023,1.0
223,223,2025/06/13 13:31:16,0.0023,2.0
224,224,2025/06/13 13:31:34,0.0023,1.0
225,225,2025/06/13 13:31:52,0.0025,0.0
226,226,2025/06/13 13:32:11,0.0025,1.0
227,227,2025/06/13 13:32:29,0.0025,2.0
228,228,2025/06/13 13:32:48,0.0025,1.0
229,229,2025/06/13 13:33:05,0.0025,2.0
230,230,2025/06/13 13:33:23,0.0025,1.0
231,231,2025/06/13 13:33:41,0.0025,2.0
232,232,2025/06/13 13:34:00,0.0025,1.0
233,233,2025/06/13 13:34:18,0.0025,2.0
234,234,2025/06/13 13:34:36,0.0023,0.0
235,235,2025/06/13 13:34:55,0.0023,2.0
236,236,2025/06/13 13:35:13,0.0023,1.0
237,237,2025/06/13 13:35:31,0.0023,2.0
238,238,2025/06/13 13:35:50,0.0023,1.0
239,239,2025/06/13 13:36:08,0.0023,2.0
240,240,2025/06/13 13:36:26,0.0023,1.0
241,241,2025/06/13 13:36:45,0.0023,2.0
242,242,2025/06/13 13:37:03,0.0023,1.0
243,243,2025/06/13 13:37:22,0.0025,0.0
244,244,2025/06/13 13:37:40,0.0025,1.0
245,245,2025/06/13 13:37:58,0.0025,2.0
246,246,2025/06/13 13:38:17,0.0025,1.0
247,247,2025/06/13 13:38:35,0.0025,2.0
248,248,2025/06/13 13:38:54,0.0025,1.0
249,249,2025/06/13 13:39:12,0.0025,2.0
250,250,2025/06/13 13:39:30,0.0025,1.0
251,251,2025/06/13 13:39:49,0.0025,2.0
252,252,2025/06/13 13:40:07,0.0023,0.0
253,253,2025/06/13 13:40:26,0.0023,2.0
254,254,2025/06/13 13:40:44,0.0023,1.0
255,255,2025/06/13 13:41:02,0.0023,2.0
256,256,2025/06/13 13:41:20,0.0023,1.0
257,257,2025/06/13 13:41:39,0.0023,2.0
258,258,2025/06/13 13:41:57,0.0023,1.0
259,259,2025/06/13 13:42:15,0.0023,2.0
260,260,2025/06/13 13:42:34,0.0023,1.0
261,261,2025/06/13 13:42:52,0.0025,0.0
262,262,2025/06/13 13:43:11,0.0025,1.0
263,263,2025/06/13 13:43:29,0.0025,2.0
264,264,2025/06/13 13:43:47,0.0025,1.0
265,265,2025/06/13 13:44:06,0.0025,2.0
266,266,2025/06/13 13:44:24,0.0025,1.0
267,267,2025/06/13 13:44:43,0.0025,2.0
268,268,2025/06/13 13:45:01,0.0025,1.0
269,269,2025/06/13 13:45:19,0.0025,2.0
270,270,2025/06/13 13:45:38,0.0023,0.0
271,271,2025/06/13 13:45:56,0.0023,2.0
272,272,2025/06/13 13:46:15,0.0023,1.0
273,273,2025/06/13 13:46:33,0.0023,2.0
274,274,2025/06/13 13:46:51,0.0023,1.0
275,275,2025/06/13 13:47:10,0.0023,2.0
276,276,2025/06/13 13:47:28,0.0023,1.0
277,277,2025/06/13 13:47:47,0.0023,2.0
278,278,2025/06/13 13:48:05,0.0023,1.0
279,279,2025/06/13 13:48:23,0.0025,0.0
280,280,2025/06/13 13:48:42,0.0025,1.0
281,281,2025/06/13 13:49:00,0.0025,2.0
282,282,2025/06/13 13:49:18,0.0025,1.0
283,283,2025/06/13 13:49:37,0.0025,2.0
284,284,2025/06/13 13:49:55,0.0025,1.0
285,285,2025/06/13 13:50:14,0.0025,2.0
286,286,2025/06/13 13:50:32,0.0025,1.0
287,287,2025/06/13 13:50:50,0.0025,2.0
288,288,2025/06/13 13:51:09,0.0023,0.0
289,289,2025/06/13 13:51:27,0.0023,2.0
290,290,2025/06/13 13:51:46,0.0023,1.0
291,291,2025/06/13 13:52:03,0.0023,2.0
292,292,2025/06/13 13:52:21,0.0023,1.0
293,293,2025/06/13 13:52:40,0.0023,2.0
294,294,2025/06/13 13:52:58,0.0023,1.0
295,295,2025/06/13 13:53:17,0.0023,2.0
296,296,2025/06/13 13:53:35,0.0023,1.0
297,297,2025/06/13 13:53:53,0.0025,0.0
298,298,2025/06/13 13:54:12,0.0025,1.0
299,299,2025/06/13 13:54:30,0.0025,2.0
300,300,2025/06/13 13:54:49,0.0025,1.0
301,301,2025/06/13 13:55:07,0.0025,2.0
302,302,2025/06/13 13:55:25,0.0025,1.0
303,303,2025/06/13 13:55:44,0.0025,2.0
304,304,2025/06/13 13:56:02,0.0025,1.0
305,305,2025/06/13 13:56:20,0.0025,2.0
306,306,2025/06/13 13:56:39,0.0023,0.0
307,307,2025/06/13 13:56:57,0.0023,2.0
308,308,2025/06/13 13:57:16,0.0023,1.0
309,309,2025/06/13 13:57:34,0.0023,2.0
310,310,2025/06/13 13:57:52,0.0023,1.0
311,311,2025/06/13 13:58:11,0.0023,2.0
312,312,2025/06/13 13:58:29,0.0023,1.0
313,313,2025/06/13 13:58:47,0.0023,2.0
314,314,2025/06/13 13:59:06,0.0023,1.0
315,315,2025/06/13 13:59:24,0.0025,0.0
316,316,2025/06/13 13:59:43,0.0025,1.0
317,317,2025/06/13 14:00:01,0.0025,2.0
318,318,2025/06/13 14:00:19,0.0025,1.0
319,319,2025/06/13 14:00:37,0.0025,2.0
320,320,2025/06/13 14:00:56,0.0025,1.0
321,321,2025/06/13 14:01:14,0.0025,2.0
322,322,2025/06/13 14:01:32,0.0025,1.0
323,323,2025/06/13 14:01:51,0.0025,2.0
324,324,2025/06/13 14:02:09,0.0023,0.0
325,325,2025/06/13 14:02:28,0.0023,2.0
326,326,2025/06/13 14:02:46,0.0023,1.0
327,327,2025/06/13 14:03:04,0.0023,2.0
328,328,2025/06/13 14:03:23,0.0023,1.0
329,329,2025/06/13 14:03:41,0.0023,2.0
330,330,2025/06/13 14:03:59,0.0023,1.0
331,331,2025/06/13 14:04:18,0.0023,2.0
332,332,2025/06/13 14:04:36,0.0023,1.0
333,333,2025/06/13 14:04:55,0.0025,0.0
334,334,2025/06/13 14:05:13,0.0025,1.0
335,335,2025/06/13 14:05:31,0.0025,2.0
336,336,2025/06/13 14:05:50,0.0025,1.0
337,337,2025/06/13 14:06:09,0.0025,2.0
338,338,2025/06/13 14:06:27,0.0025,1.0
339,339,2025/06/13 14:06:45,0.0025,2.0
340,340,2025/06/13 14:07:04,0.0025,1.0
341,341,2025/06/13 14:07:22,0.0025,2.0
342,342,2025/06/13 14:07:40,0.0023,0.0
343,343,2025/06/13 14:07:59,0.0023,2.0
344,344,2025/06/13 14:08:17,0.0023,1.0
345,345,2025/06/13 14:08:35,0.0023,2.0
346,346,2025/06/13 14:08:54,0.0023,1.0
347,347,2025/06/13 14:09:12,0.0023,2.0
348,348,2025/06/13 14:09:31,0.0023,1.0
349,349,2025/06/13 14:09:49,0.0023,2.0
350,350,2025/06/13 14:10:08,0.0023,1.0
351,351,2025/06/13 14:10:26,0.0025,0.0
352,352,2025/06/13 14:10:44,0.0025,1.0
353,353,2025/06/13 14:11:03,0.0025,2.0
354,354,2025/06/13 14:11:21,0.0025,1.0
355,355,2025/06/13 14:11:39,0.0025,2.0
356,356,2025/06/13 14:11:58,0.0025,1.0
357,357,2025/06/13 14:12:16,0.0025,2.0
358,358,2025/06/13 14:12:34,0.0025,1.0
359,359,2025/06/13 14:12:53,0.0025,2.0
360,360,2025/06/13 14:13:11,0.0023,0.0
361,361,2025/06/13 14:13:29,0.0023,2.0
362,362,2025/06/13 14:13:48,0.0023,1.0
363,363,2025/06/13 14:14:06,0.0023,2.0
364,364,2025/06/13 14:14:25,0.0023,1.0
365,365,2025/06/13 14:14:43,0.0023,2.0
366,366,2025/06/13 14:15:01,0.0023,1.0
367,367,2025/06/13 14:15:20,0.0023,2.0
368,368,2025/06/13 14:15:38,0.0023,1.0
