shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.ShotTypeID,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.ImagingBlowOutID,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ScanID4,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
36,36,2025/03/22 12:19:40,30.0,7.26,14.0,0.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,0.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
37,37,2025/03/22 12:19:59,30.0,7.26,14.0,1.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
38,38,2025/03/22 12:20:18,30.0,7.26,14.0,2.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
39,39,2025/03/22 12:20:37,30.0,7.26,14.0,3.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
40,40,2025/03/22 12:20:56,30.0,7.26,14.0,4.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
41,41,2025/03/22 12:21:14,30.0,7.26,14.0,5.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
42,42,2025/03/22 12:21:33,30.0,7.26,14.0,6.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
43,43,2025/03/22 12:21:52,30.0,7.26,14.0,7.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
44,44,2025/03/22 12:22:11,30.0,7.26,14.0,8.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
45,45,2025/03/22 12:22:30,30.0,7.26,14.0,0.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,0.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
46,46,2025/03/22 12:22:49,30.0,7.26,14.0,1.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
47,47,2025/03/22 12:23:08,30.0,7.26,14.0,2.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
48,48,2025/03/22 12:23:26,30.0,7.26,14.0,3.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
49,49,2025/03/22 12:23:45,30.0,7.26,14.0,4.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
50,50,2025/03/22 12:24:04,30.0,7.26,14.0,5.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
51,51,2025/03/22 12:24:23,30.0,7.26,14.0,6.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
52,52,2025/03/22 12:24:42,30.0,7.26,14.0,7.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
53,53,2025/03/22 12:25:01,30.0,7.26,14.0,8.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
54,54,2025/03/22 12:25:20,30.0,7.26,14.0,0.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,0.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
55,55,2025/03/22 12:25:38,30.0,7.26,14.0,1.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
56,56,2025/03/22 12:25:56,30.0,7.26,14.0,2.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
57,57,2025/03/22 12:26:16,30.0,7.26,14.0,3.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,2.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
58,58,2025/03/22 12:26:34,30.0,7.26,14.0,4.0,1.0,10.0,10.0,0.0,2.6,12.0,0.0,0.0,163.4945,28.0,200.0,14.0,1.0,228.2,773.0,0.0,100.0,35.0,590.0,174.746,0,18.0,0.0,22.0,b'250316_dmd0_iterative_compensation_pinning.pkl',5.0,93.0,30.0,0.975,100.0
