shot_idx,shot_serial,shot_start_time,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.DMDID2,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime
23,23,2025/03/23 19:18:42,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
24,24,2025/03/23 19:19:00,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
25,25,2025/03/23 19:19:18,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
26,26,2025/03/23 19:19:36,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,8.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
27,27,2025/03/23 19:19:54,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
28,28,2025/03/23 19:20:12,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,1.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
29,29,2025/03/23 19:20:30,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,2.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
30,30,2025/03/23 19:20:48,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,3.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
31,31,2025/03/23 19:21:06,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,4.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
32,32,2025/03/23 19:21:24,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
33,33,2025/03/23 19:21:42,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
34,34,2025/03/23 19:22:01,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
35,35,2025/03/23 19:22:19,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,8.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
36,36,2025/03/23 19:22:37,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
37,37,2025/03/23 19:22:55,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,1.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
38,38,2025/03/23 19:23:13,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,2.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
39,39,2025/03/23 19:23:31,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,3.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
40,40,2025/03/23 19:23:49,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,4.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
41,41,2025/03/23 19:24:07,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
42,42,2025/03/23 19:24:25,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
