shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ShotTypeID,LocalVariables.XbarFrequency,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower
23,23,2025/03/23 12:41:49,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,5.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
24,24,2025/03/23 12:42:07,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,6.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
25,25,2025/03/23 12:42:25,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,7.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
26,26,2025/03/23 12:42:43,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,8.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
27,27,2025/03/23 12:43:01,10.0,1.8,0.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,0.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
28,28,2025/03/23 12:43:19,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,1.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
29,29,2025/03/23 12:43:37,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,2.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
30,30,2025/03/23 12:43:55,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,3.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
31,31,2025/03/23 12:44:13,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,4.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
32,32,2025/03/23 12:44:31,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,5.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
33,33,2025/03/23 12:44:49,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,6.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
34,34,2025/03/23 12:45:07,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,7.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
35,35,2025/03/23 12:45:25,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,8.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
36,36,2025/03/23 12:45:44,10.0,1.8,0.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,0.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
37,37,2025/03/23 12:46:02,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,1.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
38,38,2025/03/23 12:46:20,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,2.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
39,39,2025/03/23 12:46:38,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,3.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
40,40,2025/03/23 12:46:56,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,4.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
41,41,2025/03/23 12:47:15,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,5.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
42,42,2025/03/23 12:47:33,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,6.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
43,43,2025/03/23 12:47:51,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,7.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
44,44,2025/03/23 12:48:09,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,8.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
45,45,2025/03/23 12:48:27,10.0,1.8,0.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,0.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
46,46,2025/03/23 12:48:45,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,1.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
47,47,2025/03/23 12:49:03,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,2.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
48,48,2025/03/23 12:49:21,10.0,1.8,2.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,3.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
49,49,2025/03/23 12:49:39,10.0,1.8,1.0,5.0,0.0,93.0,14.0,100.0,0.0,0.0,100.0,228.2,200.0,8.64,0.0,4.0,773.0,0,b'250316_dmd0_iterative_compensation_pinning.pkl',22.0,174.746,28.0,35.0,0.975,10.0,0.0,590.0,18.0,14.0,1.0,30.0,163.4945,30.0,12.0
