shot_idx,shot_serial,shot_start_time,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.DMDID2,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
33,33,2025/03/22 20:26:49,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,6.0,100.0
34,34,2025/03/22 20:27:08,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,7.0,100.0
35,35,2025/03/22 20:27:27,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,8.0,100.0
36,36,2025/03/22 20:27:46,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
37,37,2025/03/22 20:28:05,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,1.0,100.0
38,38,2025/03/22 20:28:25,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,2.0,100.0
39,39,2025/03/22 20:28:44,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,3.0,100.0
40,40,2025/03/22 20:29:02,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,4.0,100.0
41,41,2025/03/22 20:29:22,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,5.0,100.0
42,42,2025/03/22 20:29:41,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,6.0,100.0
43,43,2025/03/22 20:30:00,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,7.0,100.0
44,44,2025/03/22 20:30:19,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,8.0,100.0
45,45,2025/03/22 20:30:38,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
46,46,2025/03/22 20:30:57,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,1.0,100.0
47,47,2025/03/22 20:31:16,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,2.0,100.0
48,48,2025/03/22 20:31:35,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,3.0,100.0
49,49,2025/03/22 20:31:54,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,4.0,100.0
50,50,2025/03/22 20:32:13,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,5.0,100.0
51,51,2025/03/22 20:32:32,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,6.0,100.0
52,52,2025/03/22 20:32:51,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,7.0,100.0
53,53,2025/03/22 20:33:10,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,8.0,100.0
54,54,2025/03/22 20:33:29,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
55,55,2025/03/22 20:33:48,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,1.0,100.0
