shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ScanID4,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower
36,36,2025/03/23 21:34:50,30.0,200.0,0.0,0.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,0.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
37,37,2025/03/23 21:35:08,30.0,200.0,0.0,1.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
38,38,2025/03/23 21:35:26,30.0,200.0,0.0,2.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
39,39,2025/03/23 21:35:45,30.0,200.0,0.0,3.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
40,40,2025/03/23 21:36:03,30.0,200.0,0.0,4.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
41,41,2025/03/23 21:36:22,30.0,200.0,0.0,5.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
42,42,2025/03/23 21:36:40,30.0,200.0,0.0,6.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
43,43,2025/03/23 21:36:59,30.0,200.0,0.0,7.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,2.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
44,44,2025/03/23 21:37:17,30.0,200.0,0.0,8.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,1.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
45,45,2025/03/23 21:37:35,30.0,200.0,0.0,0.0,0.0,1.0,228.2,12.0,163.4945,0.0,10.0,100.0,1.72,0,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,0.0,22.0,8.64,773.0,18.0,590.0,14.0,5.0,100.0,0.0,14.0,28.0,174.746,30.0,10.0,35.0
