shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.DMDID2,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.DMDID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalPulseVariables2.LatticeMicrowaveDuration
23,23,2025/03/23 23:58:19,10.0,200.0,12.0,14.0,163.4945,100.0,0,5.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
24,24,2025/03/23 23:58:37,10.0,200.0,12.0,14.0,163.4945,100.0,0,6.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
25,25,2025/03/23 23:58:55,10.0,200.0,12.0,14.0,163.4945,100.0,0,7.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
26,26,2025/03/23 23:59:14,10.0,200.0,12.0,14.0,163.4945,100.0,0,8.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
27,27,2025/03/23 23:59:32,10.0,200.0,12.0,14.0,163.4945,100.0,0,0.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,0.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
28,28,2025/03/23 23:59:50,10.0,200.0,12.0,14.0,163.4945,100.0,0,1.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
29,29,2025/03/24 00:00:08,10.0,200.0,12.0,14.0,163.4945,100.0,0,2.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
30,30,2025/03/24 00:00:26,10.0,200.0,12.0,14.0,163.4945,100.0,0,3.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
31,31,2025/03/24 00:00:44,10.0,200.0,12.0,14.0,163.4945,100.0,0,4.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
32,32,2025/03/24 00:01:02,10.0,200.0,12.0,14.0,163.4945,100.0,0,5.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
33,33,2025/03/24 00:01:20,10.0,200.0,12.0,14.0,163.4945,100.0,0,6.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
34,34,2025/03/24 00:01:39,10.0,200.0,12.0,14.0,163.4945,100.0,0,7.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
35,35,2025/03/24 00:01:57,10.0,200.0,12.0,14.0,163.4945,100.0,0,8.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
36,36,2025/03/24 00:02:15,10.0,200.0,12.0,14.0,163.4945,100.0,0,0.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,0.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
37,37,2025/03/24 00:02:33,10.0,200.0,12.0,14.0,163.4945,100.0,0,1.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
38,38,2025/03/24 00:02:51,10.0,200.0,12.0,14.0,163.4945,100.0,0,2.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
39,39,2025/03/24 00:03:09,10.0,200.0,12.0,14.0,163.4945,100.0,0,3.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
40,40,2025/03/24 00:03:27,10.0,200.0,12.0,14.0,163.4945,100.0,0,4.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
41,41,2025/03/24 00:03:45,10.0,200.0,12.0,14.0,163.4945,100.0,0,5.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
42,42,2025/03/24 00:04:04,10.0,200.0,12.0,14.0,163.4945,100.0,0,6.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
43,43,2025/03/24 00:04:22,10.0,200.0,12.0,14.0,163.4945,100.0,0,7.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
44,44,2025/03/24 00:04:40,10.0,200.0,12.0,14.0,163.4945,100.0,0,8.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
45,45,2025/03/24 00:04:58,10.0,200.0,12.0,14.0,163.4945,100.0,0,0.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,0.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
46,46,2025/03/24 00:05:16,10.0,200.0,12.0,14.0,163.4945,100.0,0,1.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,2.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
47,47,2025/03/24 00:05:34,10.0,200.0,12.0,14.0,163.4945,100.0,0,2.0,773.0,28.0,0.0,18.0,0.0,10.0,590.0,100.0,1.0,0.0,228.2,174.746,14.0,35.0,30.0,0.975,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,5.0,22.0,30.0,93.0,8.64,1.0
